Time series;Closing price;MA-15;MACD-26;RSI-14;WR-14;D-3;K-14;Trend;Trading signals
25;330.52;1.0;0.0;0.39282032782770226;0.40547984221244526;0.0;0.0;down;0.31385767790262104
26;335.49;1.0;1.0;1.0;0.0;1.0;1.0;down;0.5
27;322.14;1.0;0.34020427023764765;0.13719679430378978;0.9203810734952785;1.0;0.34880777128497464;down;0.11966927763272402
28;319.39;1.0;0.0;0.0;0.8718168482748142;0.955215994960833;0.0;down;0.11674449633088718
29;330.88;1.0;1.0;1.0;0.0;1.0;1.0;down;0.5
30;315.89;1.0;1.0;0.33876719135548755;0.6269488045184961;1.0;1.0;down;0.3
31;316.63;1.0;1.0;1.0;0.0;1.0;1.0;down;0.5
32;314.78;1.0;0.585910449878477;0.2167835127693696;0.9428975086127627;0.82600706975256;0.4387646019858501;down;0.1942544459644305
33;311.94;1.0;0.0;0.0;1.0;0.0;0.0;down;0.0
34;319.25;1.0;0.0;1.0;0.0;0.0;1.0;down;0.5
35;316.31;0.864332603938703;0.8594383343230307;0.9863149027282564;0.0;0.0;1.0;down;0.49672131147541004
36;316.51;1.0;1.0;1.0;0.0;1.0;1.0;no;0.5
37;286.01;1.0;1.0;0.634941293984715;1.0;1.0;0.8016962080866054;no;0.5
38;264.62;1.0;1.0;0.0;1.0;1.0;0.0;no;0.0
39;276.8;1.0;1.0;0.0;1.0;0.0;0.0;no;0.0
40;276.8;1.0;1.0;0.0;1.0;0.0;0.0;down;0.0
41;276.8;1.0;1.0;0.0;1.0;1.0;0.0;down;0.0
42;276.8;1.0;0.0;0.0;1.0;1.0;0.0;down;0.0
43;276.8;1.0;0.0;0.0;1.0;1.0;0.0;down;0.0
44;276.8;1.0;0.0;1.0;0.0;1.0;0.5776656450729829;down;0.5
45;276.8;1.0;1.0;1.0;0.0;1.0;1.0;down;0.5
46;268.16;1.0;1.0;1.0;0.0;1.0;1.0;down;0.5
47;221.0;1.0;1.0;0.27792090986110196;1.0;0.8972446166705917;0.7066583907538915;down;0.5
48;162.0;1.0;1.0;0.0;1.0;0.0;0.0;down;0.0
49;208.81;1.0;1.0;1.0;0.26145264285993997;0.0;0.0;down;0.5
50;206.6;1.0;1.0;0.24758079144451642;1.0;0.0;0.0;down;0.28710247349823337
51;200.1;1.0;0.0;0.0;1.0;0.0;0.0;down;0.0
52;211.42;1.0;0.0;0.0;1.0;0.0;0.0;down;0.029310344827584135
53;216.88;1.0;0.0;0.18844779638108772;0.6687607081667623;0.0;0.0;down;0.16561964591661868
54;211.08;1.0;0.0;0.0;1.0;0.0;0.0;down;0.0
55;228.59;1.0;0.0;0.0;1.0;0.0;0.0;down;0.0
56;233.0;1.0;0.0;0.0;1.0;0.0;0.0;no;0.0
57;233.03;1.0;0.0;0.0;1.0;0.0;0.0;no;0.0
58;249.99;1.0;0.0;0.0;0.5702159753460743;0.0;0.0;no;0.0
59;253.09;1.0;0.0;0.0;0.0;1.0;0.0;no;0.0
60;269.5;0.3401315789473885;0.0;1.0;0.0;1.0;1.0;no;0.5
61;262.99;0.0;0.0;1.0;0.0;1.0;1.0;no;0.5
62;236.2;0.0;0.8065558176721611;1.0;0.0;1.0;1.0;no;0.5
63;234.75;0.0;1.0;1.0;0.0;1.0;1.0;no;0.5
64;232.6;0.0;1.0;1.0;0.0;1.0;1.0;no;0.5
65;217.98;0.0;0.8559999110041342;0.09503357000106;0.6224009771544482;1.0;1.0;no;0.06862321968062106
66;214.8;0.0;0.0;0.0;1.0;0.0;0.6331292983549387;no;0.0
67;237.97;0.0;0.0;1.0;0.0;0.0;1.0;no;0.5
68;227.35;0.0;0.5492537144276263;1.0;0.0;0.4846027043713806;1.0;no;0.5
69;227.0;1.0;1.0;1.0;0.0;1.0;1.0;no;0.5
70;217.0;1.0;0.0;0.0;1.0;0.0;1.0;no;0.0
71;222.88;1.0;0.0;0.0;1.0;0.0;0.1753447933025539;no;0.0
72;228.61;1.0;0.0;1.0;0.0;0.0;1.0;no;0.5
73;224.19;1.0;0.0;1.0;1.0;1.0;0.0;down;0.5
74;220.72;1.0;0.0;0.8438791142505374;1.0;1.0;0.0;down;0.43715846994535745
75;220.95;1.0;0.0;0.3951017501847561;1.0;0.40897166225153997;0.0;down;0.2739520958083806
76;219.12;1.0;0.0;0.0;1.0;0.0;0.0;down;0.0
