datetime;low;high;open;close;volumefrom;volumeto;close_12_ema;close_26_ema;macd;macds;macdh;close_-1_s;close_-1_d;rs_14;rsi_14;wr_14;rsv_3;kdjk_3;kdjd_3;kdjd3;rsv_14;kdjk_14;kdjk14;close_15_sma
2014-11-28;360.57;381.34;363.59;376.28;8617.15;3220878.18;376.28;376.28;0.0;0.0;0.0;;;;;24.362060664419868;75.63793933558013;58.5459797785267;52.84865992617556;52.84865992617556;75.63793933558013;58.5459797785267;58.5459797785267;376.28
2014-11-29;372.25;386.6;376.42;376.72;7245.19;2746157.05;376.51833333333326;376.5084615384615;0.009871794871742168;0.005484330484301204;0.008774928774881927;376.28;0.44000000000005457;inf;100.0;37.95620437956198;62.04379562043801;59.71191839249713;55.136412748282744;55.136412748282744;62.04379562043801;59.71191839249713;59.71191839249713;376.5
2014-11-30;373.32;381.99;376.57;373.34;3046.33;1145566.61;375.2778290993071;375.3700640709709;-0.09223497166379957;-0.03456456383869091;-0.11534081565021732;376.72;-3.3800000000000523;0.12087912087913401;10.784313725491245;50.941221667307076;49.058778332692924;56.16087170589573;55.47789906748707;55.47789906748707;49.058778332692924;56.16087170589573;56.16087170589573;375.44666666666666
2014-12-01;373.03;382.31;376.4;378.39;6660.56;2520662.37;376.2602198275862;376.21430618679693;0.04591364078925153;-0.007302299398331006;0.10643188037516507;373.34;5.050000000000011;1.7298914103647753;63.36850630016901;31.54053015751067;42.787456445992866;51.70306661926144;54.21962158474519;54.21962158474519;68.45946984248933;60.26040441809359;60.26040441809359;376.1825
2014-12-02;375.23;382.86;378.39;379.25;6832.53;2593576.46;377.07253241502644;376.9182961030982;0.15423631192822995;0.04075178536087917;0.22696905313470156;378.39;0.8600000000000136;2.0249791173778355;66.94192054896442;28.23665001920866;63.27568667344864;55.56060663732384;54.666616602271404;54.666616602271404;71.76334998079133;64.0947196056595;64.0947196056595;376.796
2014-12-03;374.23;383.0;379.25;376.67;7908.29;2998357.92;376.9746958610233;376.8685643739863;0.10613148703697561;0.05847331955619545;0.09531633496156033;379.25;-2.579999999999984;1.0366644257903985;50.90010964315267;38.148290434114465;36.50952858575761;49.21024728680176;52.847826830448184;52.847826830448184;61.851709565885535;63.34704959240151;63.34704959240151;376.77500000000003
2014-12-04;360.01;378.99;376.67;365.2;8865.09;3297896.46;374.3472136761532;374.7933706883071;-0.4461570121538898;-0.06923515508739765;-0.7538437141329843;376.67;-11.470000000000027;0.31068546562404714;23.70404446929018;80.48138397893948;22.575032622879494;40.33184239882767;48.67583201990801;48.67583201990801;19.518616021060517;48.737571735287844;48.737571735287844;375.12142857142857
2014-12-05;363.99;377.89;365.2;374.95;8951.16;3331762.49;374.4730058911304;374.8186075514329;-0.34560166030246364;-0.13565122336386048;-0.4199008738772063;365.2;9.75;0.951764715503726;48.764316105493656;43.81346370816104;64.98477598956065;48.54948692907199;48.633716989629335;48.633716989629335;56.18653629183896;51.22055992080488;51.22055992080488;375.09999999999997
2014-12-06;371.31;376.99;374.95;375.07;2300.21;861748.71;374.59111257466066;374.85586943111315;-0.26475685645249314;-0.16547526510368316;-0.19856318269761997;374.95;0.12000000000000455;0.960261860590889;48.986407372198414;43.362166227905284;79.34668071654367;58.81521819156255;52.027550723607064;52.027550723607064;56.637833772094716;53.02631787123482;53.02631787123482;375.09666666666664
2014-12-07;373.16;377.5;375.07;376.87;2429.62;913715.62;375.02296085608566;375.1337998467153;-0.1108389906296452;-0.1532335679901181;0.08478915472094584;375.07;1.8000000000000114;1.0975234350758243;52.324728139981396;36.59270402406922;92.66187050359724;70.09743562890745;58.05084569204052;58.05084569204052;63.40729597593078;56.48664390613347;56.48664390613347;375.274
